Role	KSA ID	Knowledge
SP-DEV-002	S0135	Skill in secure test plan design (e. g. unit, integration, system, acceptance).
SP-DEV-002	S0138	Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).
SP-DEV-002	S0174	Skill in using code analysis tools.
SP-DEV-002	S0175	Skill in performing root cause analysis.
SP-DEV-002	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-002	A0021	Ability to use and understand complex mathematical concepts (e.g., discrete math).
SP-DEV-002	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-DEV-002	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-ARC-001	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-ARC-001	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-ARC-001	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-ARC-001	K0004	Knowledge of cybersecurity and privacy principles.
SP-ARC-001	K0005	Knowledge of cyber threats and vulnerabilities.
SP-ARC-001	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-ARC-001	K0024	Knowledge of database systems.
SP-ARC-001	K0027	Knowledge of organization's enterprise information security architecture.
SP-ARC-001	K0028	Knowledge of organization's evaluation and validation requirements.
SP-ARC-001	K0030	Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware).
SP-ARC-001	K0035	Knowledge of installation, integration, and optimization of system components.
SP-ARC-001	K0037	Knowledge of Security Assessment and Authorization process.
SP-ARC-001	K0043	Knowledge of industry-standard and organizationally accepted analysis principles and methods.
SP-ARC-001	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-001	K0052	Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis).
SP-ARC-001	K0056	Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML).
SP-ARC-001	K0060	Knowledge of operating systems.
SP-ARC-001	K0061	Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).
SP-ARC-001	K0063	Knowledge of parallel and distributed computing concepts.
SP-ARC-001	K0074	Knowledge of key concepts in security management (e.g., Release Management, Patch Management).
SP-ARC-001	K0075	Knowledge of security system design tools, methods, and techniques.
SP-ARC-001	K0082	Knowledge of software engineering.
SP-ARC-001	K0091	Knowledge of systems testing and evaluation methods.
SP-ARC-001	K0093	Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing).
SP-ARC-001	K0102	Knowledge of the systems engineering process.
SP-ARC-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-ARC-001	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-ARC-001	K0180	Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.
SP-ARC-001	K0198	Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions).
SP-ARC-001	K0200	Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).
SP-ARC-001	K0203	Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).
SP-ARC-001	K0207	Knowledge of circuit analysis.
SP-ARC-001	K0211	Knowledge of confidentiality, integrity, and availability requirements.
SP-ARC-001	K0212	Knowledge of cybersecurity-enabled software products.
SP-ARC-001	K0214	Knowledge of the Risk Management Framework Assessment Methodology.
SP-ARC-001	K0227	Knowledge of various types of computer architectures.
SP-ARC-001	K0240	Knowledge of multi-level security systems and cross domain solutions.
SP-ARC-001	K0264	Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements).
SP-ARC-001	K0275	Knowledge of configuration management techniques.
SP-ARC-001	K0286	Knowledge of N-tiered typologies (e.g. including server and client operating systems).
SP-ARC-001	K0287	Knowledge of an organization's information classification program and procedures for information compromise.
SP-ARC-001	K0291	Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)
SP-ARC-001	K0293	Knowledge of integrating the organization’s goals and objectives into the architecture.
SP-ARC-001	K0299	Knowledge in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.
SP-ARC-001	K0322	Knowledge of embedded systems.
SP-ARC-001	K0323	Knowledge of system fault tolerance methodologies.
SP-ARC-001	K0325	Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).
SP-ARC-001	K0326	Knowledge of demilitarized zones.
SP-ARC-001	K0332	Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.
SP-ARC-001	K0333	Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs.
SP-ARC-001	K0487	Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
SP-ARC-001	K0516	Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.
SP-ARC-001	S0005	Skill in applying and incorporating information technologies into proposed solutions.
SP-ARC-001	S0024	Skill in designing the integration of hardware and software solutions.
SP-ARC-001	S0027	Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.
SP-ARC-001	S0050	Skill in design modeling and building use cases (e.g., unified modeling language).
SP-ARC-001	S0060	Skill in writing code in a currently supported programming language (e.g., Java, C++).
SP-ARC-001	S0122	Skill in the use of design methods.
SP-ARC-001	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-001	S0374	Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
SP-ARC-001	A0008	Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]).
SP-ARC-001	A0015	Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
SP-ARC-001	A0027	Ability to apply an organization's goals and objectives to develop and maintain architecture.
SP-ARC-001	A0038	Ability to optimize systems to meet enterprise performance requirements.
SP-ARC-001	A0051	Ability to execute technology integration processes.
SP-ARC-001	A0060	Ability to build architectures and frameworks.
SP-ARC-001	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-001	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-ARC-001	A0172	Ability to set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks.
SP-ARC-002	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-ARC-002	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-ARC-002	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-ARC-002	K0004	Knowledge of cybersecurity and privacy principles.
SP-ARC-002	K0005	Knowledge of cyber threats and vulnerabilities.
SP-ARC-002	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-ARC-002	K0007	Knowledge of authentication, authorization, and access control methods.
SP-ARC-002	K0008	Knowledge of applicable business processes and operations of customer organizations.
SP-ARC-002	K0009	Knowledge of application vulnerabilities.
SP-ARC-002	K0010	Knowledge of communication methods, principles, and concepts that support the network infrastructure.
SP-ARC-002	K0011	Knowledge of capabilities and applications of network equipment including routers, switches, bridges, servers, transmission media, and related hardware.
SP-ARC-002	K0012	Knowledge of capabilities and requirements analysis.
SP-ARC-002	K0013	Knowledge of cyber defense and vulnerability assessment tools and their capabilities.
SP-ARC-002	K0015	Knowledge of computer algorithms.
SP-ARC-002	K0018	Knowledge of encryption algorithms
SP-ARC-002	K0019	Knowledge of cryptography and cryptographic key management concepts
SP-ARC-002	K0024	Knowledge of database systems.
SP-ARC-002	K0026	Knowledge of business continuity and disaster recovery continuity of operations plans.
SP-ARC-002	K0027	Knowledge of organization's enterprise information security architecture.
SP-ARC-002	K0030	Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware).
SP-ARC-002	K0035	Knowledge of installation, integration, and optimization of system components.
SP-ARC-002	K0036	Knowledge of human-computer interaction principles.
SP-ARC-002	K0037	Knowledge of Security Assessment and Authorization process.
SP-ARC-002	K0043	Knowledge of industry-standard and organizationally accepted analysis principles and methods.
SP-ARC-002	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-002	K0052	Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis).
SP-ARC-002	K0055	Knowledge of microprocessors.
SP-ARC-002	K0056	Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML).
SP-ARC-002	K0057	Knowledge of network hardware devices and functions.
SP-ARC-002	K0059	Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
SP-ARC-002	K0060	Knowledge of operating systems.
SP-ARC-002	K0061	Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).
SP-ARC-002	K0063	Knowledge of parallel and distributed computing concepts.
SP-ARC-002	K0071	Knowledge of remote access technology concepts.
SP-ARC-002	K0074	Knowledge of key concepts in security management (e.g., Release Management, Patch Management).
SP-ARC-002	K0082	Knowledge of software engineering.
SP-ARC-002	K0091	Knowledge of systems testing and evaluation methods.
SP-ARC-002	K0092	Knowledge of technology integration processes.
SP-ARC-002	K0093	Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing).
SP-ARC-002	K0102	Knowledge of the systems engineering process.
SP-ARC-002	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-ARC-002	K0180	Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.
SP-ARC-002	K0198	Knowledge of organizational process improvement concepts and process maturity models (e.g., Capability Maturity Model Integration (CMMI) for Development, CMMI for Services, and CMMI for Acquisitions).
SP-ARC-002	K0200	Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).
SP-ARC-002	K0202	Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).
SP-ARC-002	K0211	Knowledge of confidentiality, integrity, and availability requirements.
SP-ARC-002	K0212	Knowledge of cybersecurity-enabled software products.
SP-ARC-002	K0214	Knowledge of the Risk Management Framework Assessment Methodology.
SP-ARC-002	K0227	Knowledge of various types of computer architectures.
SP-ARC-002	K0240	Knowledge of multi-level security systems and cross domain solutions.
SP-ARC-002	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-ARC-002	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-ARC-002	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-ARC-002	K0264	Knowledge of program protection planning (e.g. information technology (IT) supply chain security/risk management policies, anti-tampering techniques, and requirements).
SP-ARC-002	K0275	Knowledge of configuration management techniques.
SP-ARC-002	K0277	Knowledge of current and emerging data encryption (e.g., Column and Tablespace Encryption, file and disk encryption) security features in databases (e.g. built-in cryptographic key management features).
SP-ARC-002	K0286	Knowledge of N-tiered typologies (e.g. including server and client operating systems).
SP-ARC-002	K0287	Knowledge of an organization's information classification program and procedures for information compromise.
SP-ARC-002	K0291	Knowledge of the enterprise information technology (IT) architectural concepts and patterns (e.g., baseline, validated design, and target architectures.)
SP-ARC-002	K0293	Knowledge of integrating the organization’s goals and objectives into the architecture.
SP-ARC-002	K0320	Knowledge of organization's evaluation and validation criteria.
SP-ARC-002	K0322	Knowledge of embedded systems.
SP-ARC-002	K0323	Knowledge of system fault tolerance methodologies.
SP-ARC-002	K0325	Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).
SP-ARC-002	K0326	Knowledge of demilitarized zones.
SP-ARC-002	K0332	Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.
SP-ARC-002	K0333	Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs.
SP-ARC-002	K0336	Knowledge of access authentication methods.
SP-ARC-002	K0374	WITHDRAWN: Knowledge of basic structure, architecture, and design of modern digital and telephony networks. (See K0599)
SP-ARC-002	K0565	Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.
SP-ARC-002	S0005	Skill in applying and incorporating information technologies into proposed solutions.
SP-ARC-002	S0022	Skill in designing countermeasures to identified security risks.
SP-ARC-002	S0024	Skill in designing the integration of hardware and software solutions.
SP-ARC-002	S0027	Skill in determining how a security system should work (including its resilience and dependability capabilities) and how changes in conditions, operations, or the environment will affect these outcomes.
SP-ARC-002	S0050	Skill in design modeling and building use cases (e.g., unified modeling language).
SP-ARC-002	S0059	Skill in using Virtual Private Network (VPN) devices and encryption.
SP-ARC-002	S0061	Skill in writing test plans.
SP-ARC-002	S0076	Skill in configuring and utilizing software-based computer protection tools (e.g., software firewalls, antivirus software, anti-spyware).
SP-ARC-002	S0116	Skill in designing multi-level security/cross domain solutions.
SP-ARC-002	S0122	Skill in the use of design methods.
SP-ARC-002	S0138	Skill in using Public-Key Infrastructure (PKI) encryption and digital signature capabilities into applications (e.g., S/MIME email, SSL traffic).
SP-ARC-002	S0139	Skill in applying security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).
SP-ARC-002	S0152	Skill in translating operational requirements into protection needs (i.e., security controls).
SP-ARC-002	S0168	Skill in setting up physical or logical sub-networks that separate an internal local area network (LAN) from other untrusted networks.
SP-ARC-002	S0170	Skill in configuring and utilizing computer protection components (e.g., hardware firewalls, servers, routers, as appropriate).
SP-ARC-002	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-002	S0374	Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations.
SP-ARC-002	A0008	Ability to apply the methods, standards, and approaches for describing, analyzing, and documenting an organization's enterprise information technology (IT) architecture (e.g., Open Group Architecture Framework [TOGAF], Department of Defense Architecture Framework [DoDAF], Federal Enterprise Architecture Framework [FEAF]).
SP-ARC-002	A0014	Ability to communicate effectively when writing.
SP-ARC-002	A0015	Ability to conduct vulnerability scans and recognize vulnerabilities in security systems.
SP-ARC-002	A0027	Ability to apply an organization's goals and objectives to develop and maintain architecture.
SP-ARC-002	A0038	Ability to optimize systems to meet enterprise performance requirements.
SP-ARC-002	A0048	Ability to apply network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-ARC-002	A0049	Ability to apply secure system design tools, methods and techniques.
SP-ARC-002	A0050	Ability to apply system design tools, methods, and techniques, including automated systems analysis and design tools.
SP-ARC-002	A0061	Ability to design architectures and frameworks.
SP-ARC-002	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-ARC-002	A0148	Ability to serve as the primary liaison between the enterprise architect and the systems security engineer and coordinates with system owners, common control providers, and system security officers on the allocation of security controls as system-specific, hybrid, or common controls.
SP-ARC-002	A0149	Ability, in close coordination with system security officers, advise authorizing officials, chief information officers, senior information security officers, and the senior accountable official for risk management/risk executive (function), on a range of security-related issues (e.g. establishing system boundaries; assessing the severity of weaknesses and deficiencies in the system; plans of action and milestones; risk mitigation approaches; security alerts; and potential adverse effects of identified vulnerabilities).
SP-ARC-002	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-ARC-002	A0172	Ability to set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks.
SP-TRD-001	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-TRD-001	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-TRD-001	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-TRD-001	K0004	Knowledge of cybersecurity and privacy principles.
SP-TRD-001	K0005	Knowledge of cyber threats and vulnerabilities.
SP-TRD-001	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-TRD-001	K0009	Knowledge of application vulnerabilities.
SP-TRD-001	K0019	Knowledge of cryptography and cryptographic key management concepts
SP-TRD-001	K0059	Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
SP-TRD-001	K0090	Knowledge of system life cycle management principles, including software security and usability.
SP-TRD-001	K0126	Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
SP-TRD-001	K0169	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.
SP-TRD-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-TRD-001	K0171	Knowledge of hardware reverse engineering techniques.
SP-TRD-001	K0172	Knowledge of middleware (e.g., enterprise service bus and message queuing).
SP-TRD-001	K0174	Knowledge of networking protocols.
SP-TRD-001	K0175	Knowledge of software reverse engineering techniques.
SP-TRD-001	K0176	Knowledge of Extensible Markup Language (XML) schemas.
SP-TRD-001	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-TRD-001	K0202	Knowledge of the application firewall concepts and functions (e.g., Single point of authentication/audit/policy enforcement, message scanning for malicious content, data anonymization for PCI and PII compliance, data loss protection scanning, accelerated cryptographic operations, SSL security, REST/JSON processing).
SP-TRD-001	K0209	Knowledge of covert communication techniques.
SP-TRD-001	K0267	Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures.
SP-TRD-001	K0268	Knowledge of forensic footprint identification.
SP-TRD-001	K0269	Knowledge of mobile communications architecture.
SP-TRD-001	K0271	Knowledge of operating system structures and internals (e.g., process management, directory structure, installed applications).
SP-TRD-001	K0272	Knowledge of network analysis tools used to identify software communications vulnerabilities.
SP-TRD-001	K0288	Knowledge of industry standard security models.
SP-TRD-001	K0296	Knowledge of capabilities, applications, and potential vulnerabilities of network equipment including hubs, routers, switches, bridges, servers, transmission media, and related hardware.
SP-TRD-001	K0310	Knowledge of hacking methodologies.
SP-TRD-001	K0314	Knowledge of industry technologies’ potential cybersecurity vulnerabilities.
SP-TRD-001	K0321	Knowledge of engineering concepts as applied to computer architecture and associated computer hardware/software.
SP-TRD-001	K0342	Knowledge of penetration testing principles, tools, and techniques.
SP-TRD-001	K0499	Knowledge of operations security.
SP-TRD-001	S0005	Skill in applying and incorporating information technologies into proposed solutions.
SP-TRD-001	S0017	Skill in creating and utilizing mathematical or statistical models.
SP-TRD-001	S0072	Skill in using scientific rules and methods to solve problems.
SP-TRD-001	S0140	Skill in applying the systems engineering process.
SP-TRD-001	S0148	Skill in designing the integration of technology processes and solutions, including legacy systems and modern programming languages.
SP-TRD-001	S0172	Skill in applying secure coding techniques.
SP-TRD-001	A0001	Ability to identify systemic security issues based on the analysis of vulnerability and configuration data.
SP-TRD-001	A0018	Ability to prepare and present briefings.
SP-TRD-001	A0019	Ability to produce technical documentation.
SP-TRD-001	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-SRP-001	K0001	Knowledge of computer networking concepts and protocols, and network security methodologies.
SP-SRP-001	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-SRP-001	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-SRP-001	K0004	Knowledge of cybersecurity and privacy principles.
SP-SRP-001	K0005	Knowledge of cyber threats and vulnerabilities.
SP-SRP-001	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-SRP-001	K0008	Knowledge of applicable business processes and operations of customer organizations.
SP-SRP-001	K0012	Knowledge of capabilities and requirements analysis.
SP-SRP-001	K0018	Knowledge of encryption algorithms
SP-SRP-001	K0019	Knowledge of cryptography and cryptographic key management concepts
SP-SRP-001	K0032	Knowledge of resiliency and redundancy.
SP-SRP-001	K0035	Knowledge of installation, integration, and optimization of system components.
SP-SRP-001	K0038	Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.
SP-SRP-001	K0043	Knowledge of industry-standard and organizationally accepted analysis principles and methods.
SP-SRP-001	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-SRP-001	K0045	Knowledge of information security systems engineering principles (NIST SP 800-160).
SP-SRP-001	K0047	Knowledge of information technology (IT) architectural concepts and frameworks.
SP-SRP-001	K0055	Knowledge of microprocessors.
SP-SRP-001	K0056	Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML).
SP-SRP-001	K0059	Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
SP-SRP-001	K0060	Knowledge of operating systems.
SP-SRP-001	K0061	Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).
SP-SRP-001	K0063	Knowledge of parallel and distributed computing concepts.
SP-SRP-001	K0066	Knowledge of Privacy Impact Assessments.
SP-SRP-001	K0067	Knowledge of process engineering concepts.
SP-SRP-001	K0073	Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org).
SP-SRP-001	K0074	Knowledge of key concepts in security management (e.g., Release Management, Patch Management).
SP-SRP-001	K0086	Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.
SP-SRP-001	K0087	Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design.
SP-SRP-001	K0090	Knowledge of system life cycle management principles, including software security and usability.
SP-SRP-001	K0091	Knowledge of systems testing and evaluation methods.
SP-SRP-001	K0093	Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing).
SP-SRP-001	K0101	Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
SP-SRP-001	K0102	Knowledge of the systems engineering process.
SP-SRP-001	K0126	Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
SP-SRP-001	K0163	Knowledge of critical information technology (IT) procurement requirements.
SP-SRP-001	K0164	Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes).
SP-SRP-001	K0168	Knowledge of applicable laws, statutes (e.g., in Titles 10, 18, 32, 50 in U.S. Code), Presidential Directives, executive branch guidelines, and/or administrative/criminal legal guidelines and procedures.
SP-SRP-001	K0169	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.
SP-SRP-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-SRP-001	K0180	Knowledge of network systems management principles, models, methods (e.g., end-to-end systems performance monitoring), and tools.
SP-SRP-001	K0200	Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL]).
SP-SRP-001	K0267	Knowledge of laws, policies, procedures, or governance relevant to cybersecurity for critical infrastructures.
SP-SRP-001	K0287	Knowledge of an organization's information classification program and procedures for information compromise.
SP-SRP-001	K0325	Knowledge of Information Theory (e.g., source coding, channel coding, algorithm complexity theory, and data compression).
SP-SRP-001	K0332	Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.
SP-SRP-001	K0333	Knowledge of network design processes, to include understanding of security objectives, operational objectives, and trade-offs.
SP-SRP-001	K0622	Knowledge of controls related to the use, processing, storage, and transmission of data.
SP-SRP-001	S0005	Skill in applying and incorporating information technologies into proposed solutions.
SP-SRP-001	S0006	Skill in applying confidentiality, integrity, and availability principles.
SP-SRP-001	S0008	Skill in applying organization-specific systems analysis principles and techniques.
SP-SRP-001	S0010	Skill in conducting capabilities and requirements analysis.
SP-SRP-001	S0050	Skill in design modeling and building use cases (e.g., unified modeling language).
SP-SRP-001	S0134	Skill in conducting reviews of systems.
SP-SRP-001	S0367	Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-SRP-001	A0064	Ability to interpret and translate customer requirements into operational capabilities.
SP-SRP-001	A0123	Ability to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-SRP-001	A0170	Ability to identify critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-TST-001	K0002	Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
SP-TST-001	K0003	Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy.
SP-TST-001	K0004	Knowledge of cybersecurity and privacy principles.
SP-TST-001	K0005	Knowledge of cyber threats and vulnerabilities.
SP-TST-001	K0006	Knowledge of specific operational impacts of cybersecurity lapses.
SP-TST-001	K0027	Knowledge of organization's enterprise information security architecture.
SP-TST-001	K0028	Knowledge of organization's evaluation and validation requirements.
SP-TST-001	K0037	Knowledge of Security Assessment and Authorization process.
SP-TST-001	K0044	Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).
SP-TST-001	K0057	Knowledge of network hardware devices and functions.
SP-TST-001	K0088	Knowledge of systems administration concepts.
SP-TST-001	K0091	Knowledge of systems testing and evaluation methods.
SP-TST-001	K0102	Knowledge of the systems engineering process.
SP-TST-001	K0139	Knowledge of interpreted and compiled computer languages.
SP-TST-001	K0126	Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
SP-TST-001	K0169	Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures.
SP-TST-001	K0170	Knowledge of critical infrastructure systems with information communication technology that were designed without system security considerations.
SP-TST-001	K0179	Knowledge of network security architecture concepts including topology, protocols, components, and principles (e.g., application of defense-in-depth).
SP-TST-001	K0199	Knowledge of security architecture concepts and enterprise architecture reference models (e.g., Zachman, Federal Enterprise Architecture [FEA]).
SP-TST-001	K0203	Knowledge of security models (e.g., Bell-LaPadula model, Biba integrity model, Clark-Wilson integrity model).
SP-TST-001	K0212	Knowledge of cybersecurity-enabled software products.
SP-TST-001	K0250	Knowledge of Test & Evaluation processes for learners.
SP-TST-001	K0260	Knowledge of Personally Identifiable Information (PII) data security standards.
SP-TST-001	K0261	Knowledge of Payment Card Industry (PCI) data security standards.
SP-TST-001	K0262	Knowledge of Personal Health Information (PHI) data security standards.
SP-TST-001	K0287	Knowledge of an organization's information classification program and procedures for information compromise.
SP-TST-001	K0332	Knowledge of network protocols such as TCP/IP, Dynamic Host Configuration, Domain Name System (DNS), and directory services.
SP-TST-001	S0015	Skill in conducting test events.
SP-TST-001	S0021	Skill in designing a data analysis structure (i.e., the types of data a test must generate and how to analyze that data).
SP-TST-001	S0026	Skill in determining an appropriate level of test rigor for a given system.
SP-TST-001	S0030	Skill in developing operations-based testing scenarios.
SP-TST-001	S0048	Skill in systems integration testing.
SP-TST-001	S0060	Skill in writing code in a currently supported programming language (e.g., Java, C++).
SP-TST-001	S0061	Skill in writing test plans.
SP-TST-001	S0082	Skill in evaluating test plans for applicability and completeness.
SP-TST-001	S0104	Skill in conducting Test Readiness Reviews.
SP-TST-001	S0107	Skill in designing and documenting overall program Test & Evaluation strategies.
